1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,m,1983,Ac,2005,2009,Po,2009,2012,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ac,Ac,Ac,Ac,Ac,Po,Po,Po,Po,Yes,2005,2009,4,2009,2012,40,,,,,,,,,,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,Parti socialiste suisse (PSS),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,conc,2009,2011,,,,,,,,,,,,,No,Rather
124,m,1962,Mb,1983,1986,Po+,1992,na,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mb,Mb,Mb,Mb,.,.,.,.,.,Po+,Po+,Po+,Po+,Po+,Po+,Po+,Po+,Po+,Po+,Po+,Po+,Po+,Po+,Po+,Po+,Po+,Po+,Po+,Po+,Po+,Po,Yes,na,na,40,,,,,,,,,,,,,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,concmar,1985,na,concmar,1985,na,,,,,,,,,,Yes,Yes
125,m,1966,Ad,1992,2012,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,No Po,Yes,na,na,na,,,,,,,,,,,,,Yes,Yes,No,No,No,Yes,No,No,No,No,No,,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,na,na,na,na,,,,,,,,,,,,,na,na
126,w,1966,Mb,1990,2007,Mb,2007,2009,Po,2009,2012,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Po,Po,Po,Po,No,na,na,na,,,,,,,,,,,,,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,na,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,na,na,na,na,,,,,,,,,,,,,na,na
127,w,1979,Ad,2005,2012,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,No Po,No,na,na,na,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,na,na,na,na,,,,,,,,,,,,,na,na
128,m,1956,Mb,1981,2012,Ac,2009,2012,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,No Po,Yes,1980,1999,0,1999,2009,<1,2009,0,2,,,,,,,No,No,No,No,No,No,No,No,No,No,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,na,na,na,na,,,,,,,,,,,,,na,na
129,m,1948,Ac,1976,2012,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,No Po,na,na,na,na,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,na,,na,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,na,na,na,na,,,,,,,,,,,,,na,na
130,w,1967,Ad,2002,2012,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,No Po,No,na,na,na,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,na,na,na,na,,,,,,,,,,,,,na,na
131,w,1966,na,1993,2012,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,No Po,Yes,na,na,na,,,,,,,,,,,,,No,No,No,Yes,No,No,No,No,No,No,No,,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,aut,2002,2012,,,,,,,,,,,,,No,na
132,m,1957,Po,1986,2012,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,Yes,na,na,50,,,,,,,,,,,,,Yes,No,No,No,No,Yes,No,No,No,No,No,,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,na,na,na,na,,,,,,,,,,,,,na,na
133,w,1977,Ad+,2004,2012,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ad+,Ad+,Ad+,Ad+,Ad+,Ad+,Ad+,Ad+,Ad+,No Po,Yes,na,na,0,,,,,,,,,,,,,Yes,No,Yes,No,No,Yes,No,No,No,No,No,,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,na,na,na,na,,,,,,,,,,,,,na,na
134,w,1982,Ad,2010,2012,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ad,Ad,Ad,No Po,No,2010,0,40,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,na,na,na,na,,,,,,,,,,,,,na,na
135,m,1975,Mb,1998,2012,Ac,2002,2004,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,No Po,Yes,2002,2004,3,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,conc,1994,2003,mar,2003,2008,conc,2009,2012,,,,,,,No,No
136,m,1965,Mb,1982,2012,Po,1994,2012,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Po,No,1982,1994,<1,1994,2012,50,,,,,,,,,,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Parti chrétien-social (PCS) ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,mar,1990,2012,,,,,,,,,,,,,Yes,No
137,m,1959,Mb,1982,1997,Ac,1998,2000,Ac+,2001,2012,Ac,2010,2012,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Ac,Ac,Ac,Ac+,Ac+,Ac+,Ac+,Ac+,Ac+,Ac+,Ac+,Ac+,Ac+,Ac+,Ac+,No Po,No,1998,2000,1,2001,2010,5,2011,2012,7,,,,,,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Parti socialiste suisse (PSS),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,conc,1984,1990,mar,1990,2012,,,,,,,,,,Yes,Yes
138,w,1968,Ad,2003,2012,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,No Po,No,2003,2012,20,,,,,,,,,,,,,Yes,No,No,No,No,No,Yes,No,No,No,No,,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,mar,1993,2012,,,,,,,,,,,,,Yes,Rather not
139,m,1963,Ac,2001,2011,Po,2011,2012,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Po,Po,Yes,2001,2011,2,2011,na,na,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,na,na,na,,,,,,,,,,,,,na,na
140,m,1965,Mb,1999,2012,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,No Po,Yes,1999,0,<1,,,,,,,,,,,,,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Les Verts - Parti écologiste suisse,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,mar,2003,2012,,,,,,,,,,,,,No,Rather
141,w,1975,Mb,2001,2012,Ad+,2001,2004,Ad,2004,2006,Ad,2009,2012,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,No Po,No,na,na,na,,,,,,,,,,,,,Yes,No,Yes,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,na,na,na,na,,,,,,,,,,,,,na,na
142,w,1955,Ad+,2010,2012,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ad+,Ad+,Ad+,No Po,Yes,2010,0,40,,,,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,aut,1992,2007,aut,2007,na,,,,,,,,,,No,Rather not
143,w,na,Ac,1984,1996,Ac,1996,2012,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,No Po,Yes,na,na,na,,,,,,,,,,,,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,na,na,na,na,,,,,,,,,,,,,na,na
144,m,1954,na,1980,2012,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,No Po,Yes,na,na,na,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,na,,na,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,na,na,na,na,,,,,,,,,,,,,na,na
145,w,1962,Mb,1992,2012,Ac,1998,2012,Ac+,2004,2012,Ac,2010,2012,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,No Po,Yes,1992,1998,0,1998,2004,<1,2004,2010,1,2010,0,2,,,,No,No,No,No,No,No,No,No,No,No,Yes,Parti démocrate-chrétien (PDC) ,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,na,na,na,na,,,,,,,,,,,,,na,na
146,m,1945,Mb,1960,1967,Mb,1968,1999,Ac,1999,2012,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,No Po,Yes,1999,2012,2,,,,,,,,,,,,,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,mar,1988,na,,,,,,,,,,,,,Yes,Rather not
147,w,1984,Ac,2002,2003,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ac,Ac,.,.,.,.,.,.,.,.,.,No Po,Yes,2002,2003,5,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,Yes,No,,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,conc,2005,2005,,,,,,,,,,,,,No,na
148,m,1959,Mb,1988,2009,Ac,2009,na,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Ac,Ac,Ac,No Po,No,2009,na,2,,,,,,,,,,,,,No,No,No,Yes,No,No,No,No,No,No,Yes,Parti chrétien-social (PCS) ,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,mar,1984,2012,,,,,,,,,,,,,Yes,Rather
149,w,1987,Po,2011,2012,Mb,2010,2012,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mb,Po,Po,Po,Yes,2011,0,na,,,,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,mar,2009,2012,,,,,,,,,,,,,No,Rather not
150,w,1967,Ad,1997,2001,Ad+,2001,2004,Ad+,2005,2011,Ad+,2011,2012,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ad,Ad,Ad,Ad,Ad,Ad+,Ad+,Ad+,Ad+,Ad+,Ad+,Ad+,Ad+,Ad+,Ad+,Ad+,No Po,No,na,na,na,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,Yes,Parti socialiste suisse (PSS),Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,mar,1998,2012,,,,,,,,,,,,,Yes,Yes
151,m,1951,Ac,1989,na,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,No Po,No,na,na,na,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,mar,1973,1975,mar,2003,na,,,,,,,,,,No,na
152,m,1981,Ad,2005,2009,Ad+,2009,2012,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ad,Ad,Ad,Ad,Ad,Ad+,Ad+,Ad+,No Po,No,2005,2009,24,2009,0,42,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,cél,,,,,,,,,,,,,,,No,No
153,w,1967,Po,2008,2012,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Po,Po,Po,Po,Po,Po,Yes,2008,2011,45,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,mar,1987,2007,conc,2009,2012,,,,,,,,,,Yes,Rather
154,m,1963,Po,na,na,,,,,,,,,,,,,,,,,,,,,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,Po,na,na,na,na,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,na,,na,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,na,na,na,na,,,,,,,,,,,,,na,na
155,m,1953,Ac+,1975,2012,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ac+,Ac+,Ac+,Ac+,Ac+,Ac+,Ac+,Ac+,Ac+,Ac+,Ac+,Ac+,Ac+,Ac+,Ac+,Ac+,Ac+,Ac+,Ac+,Ac+,Ac+,Ac+,Ac+,Ac+,Ac+,Ac+,Ac+,Ac+,Ac+,Ac+,Ac+,Ac+,Ac+,Ac+,Ac+,Ac+,Ac+,Ac+,No Po,Yes,1975,1995,0,1995,2002,1,2002,0,4,,,,,,,No,No,No,No,No,Yes,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,mar,2000,2012,,,,,,,,,,,,,Yes,No
156,w,1981,Po,2010,2012,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Po,Po,Po,Po,Yes,na,na,38,,,,,,,,,,,,,No,No,No,Yes,No,Yes,No,No,No,No,No,,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,LPart,2006,2012,,,,,,,,,,,,,Yes,na
157,w,1980,Ad,2003,2010,Ad+,2011,2012,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad+,Ad+,No Po,No,na,na,na,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,mar,2005,na,,,,,,,,,,,,,Yes,Rather not
158,m,1952,Mb,1972,1997,Ac,1973,1986,Ac+,1986,1997,Po+,1993,1997,Po,1998,2004,Po+,1998,2004,Po,2005,2012,Po+,2005,2012,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,Yes,1972,1986,3,1986,1993,15,1993,1997,45,1998,2004,40,2005,0,40,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,mar,2007,2012,,,,,,,,,,,,,No,No
159,m,1961,Ac,1980,2012,Po,1995,2002,Po,2002,2006,Po+,2006,2012,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Po,No,1980,1995,1,1995,2002,50,2002,2006,45,2006,2012,45,,,,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Parti chrétien-social (PCS) ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,mar,1982,2012,,,,,,,,,,,,,Yes,na
