1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,m,1959,Po+,2007,2012,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Po+,Po+,Po+,Po+,Po+,Po+,Po,Yes,2007,0,50,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,Yes,Parti socialiste suisse (PSS),No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,mar,1984,2012,,,,,,,,,,,,,Yes,Rather
10,m,1984,Ac+,2001,2012,Ac,2010,2012,Mb,2010,2012,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ac+,Ac+,Ac+,Ac+,Ac+,Ac+,Ac+,Ac+,Ac+,Ac+,Ac+,Ac+,No Po,No,2001,2011,1,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,cél,,,,,,,,,,,,,,,No,na
11,w,1964,Mb,2000,2011,Ac+,2011,2012,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Ac+,No Po,No,2000,2011,0,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,Yes,Union démocratique du centre (UDC),No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,na,na,na,na,,,,,,,,,,,,,na,na
12,m,1983,Mb,2002,2012,Po,2005,2011,Po+,2012,2012,Ac,2005,2012,Po,2005,2010,Po+,2010,2012,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Po,Yes,2005,2010,18,2010,2011,20,2012,0,40,,,,,,,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,Alternative Liste,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,cél,,,,,,,,,,,,,,,No,Rather
13,m,1963,Po,1996,2000,Po,2001,2009,Po,2009,2011,Po,2004,2011,Po,2011,2011,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,.,Po,Yes,na,na,na,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,,na,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,na,na,na,na,,,,,,,,,,,,,na,na
14,w,1957,Mb,1980,2000,Ac,2000,2004,Ac,2004,2008,Ac,2008,2010,Ac,2010,2012,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,No Po,Yes,1980,2000,0,2000,2004,3,2004,0,6,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Parti socialiste suisse (PSS),Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,mar,1989,2012,,,,,,,,,,,,,Yes,Yes
15,m,1960,Ac,1978,2012,Ac,2000,2012,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,No Po,Yes,1976,2000,2,2000,2012,4,,,,,,,,,,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Parti socialiste suisse (PSS),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,mar,1990,2012,,,,,,,,,,,,,Yes,Rather
16,m,1959,Ac+,1985,1990,Ac+,1987,1990,Ac,1995,2012,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ac+,Ac+,Ac+,Ac+,Ac+,Ac+,.,.,.,.,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,No Po,No,1985,1990,2,1987,1990,3,1995,2011,2,,,,,,,No,No,No,No,No,Yes,No,No,No,No,Yes,Parti socialiste suisse (PSS),Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,mar,1984,na,,,,,,,,,,,,,Yes,na
17,w,1954,Mb,1989,2012,Mb,1989,2012,Ac,1989,2012,Ac+,1991,2012,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,No Po,na,1989,0,1,1989,0,1,1989,0,4,1989,0,0,,,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Parti socialiste suisse (PSS),No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,na,na,na,na,,,,,,,,,,,,,na,na
18,m,1952,Po,2004,2012,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,Yes,2004,0,35,,,,,,,,,,,,,No,Yes,No,No,No,Yes,No,No,Yes,Yes,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,na,na,na,na,,,,,,,,,,,,,na,na
19,w,1980,Po,2008,2010,Po,2010,2012,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Po,Po,Po,Po,Po,Po,No,2008,2010,34,2010,2011,36,,,,,,,,,,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Jeunes socialistes (JUSO),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,na,na,na,na,,,,,,,,,,,,,na,na
20,m,1962,Po,2001,2012,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,No,na,na,na,,,,,,,,,,,,,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,mar,1987,2012,,,,,,,,,,,,,Yes,Rather not
21,w,1960,Po,2008,2012,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Po,Po,Po,Po,Po,Po,No,2008,0,28,,,,,,,,,,,,,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Parti socialiste suisse (PSS),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,mar,1981,1989,mar,1992,2012,,,,,,,,,,Yes,Rather
22,w,1991,Mb,2009,2012,Ac,2010,2012,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mb,Mb,Mb,Mb,No Po,No,2010,2011,1,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,Yes,Parti socialiste suisse (PSS),No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,cél,,,,,,,,,,,,,,,No,Rather
23,w,1963,na,na,na,,,,,,,,,,,,,,,,,,,,,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,No Po,Yes,na,na,na,,,,,,,,,,,,,Yes,No,No,No,No,Yes,No,No,No,No,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,na,na,na,na,,,,,,,,,,,,,na,na
